time,lat,long,LAeq
1532030410.0,41.148054566,-8.611185213,71.1
1532030712.0,41.148054566,-8.611185213,71.3
1532031021.0,41.148054566,-8.611185213,71.4
1532031324.0,41.148054566,-8.611185213,71.3
1532031625.0,41.148054566,-8.611185213,73.2
1532031927.0,41.148054566,-8.611185213,70.4
1532032230.0,41.148054566,-8.611185213,70.7
1532032532.0,41.148054566,-8.611185213,71.6
1532032834.0,41.148054566,-8.611185213,71.5
1532033136.0,41.148054566,-8.611185213,70.4
1532033438.0,41.148054566,-8.611185213,74.6
1532033740.0,41.148054566,-8.611185213,71.1
1532034049.0,41.148054566,-8.611185213,71.4
1532034351.0,41.148054566,-8.611185213,71.7
1532034653.0,41.148054566,-8.611185213,70.0
1532034955.0,41.148054566,-8.611185213,70.1
1532035292.0,41.148054566,-8.611185213,72.2
1532035534.0,41.148054566,-8.611185213,71.9
1532035836.0,41.148054566,-8.611185213,74.1
1532036138.0,41.148054566,-8.611185213,71.5
1532036440.0,41.148054566,-8.611185213,72.0
1532036742.0,41.148054566,-8.611185213,71.5
1532037045.0,41.148054566,-8.611185213,71.0
1532037346.0,41.148054566,-8.611185213,70.7
1532037652.0,41.148054566,-8.611185213,70.3
1532037951.0,41.148054566,-8.611185213,70.3
1532038253.0,41.148054566,-8.611185213,69.3
1532038555.0,41.148054566,-8.611185213,70.7
1532038857.0,41.148054566,-8.611185213,70.8
1532039159.0,41.148054566,-8.611185213,70.3
1532039461.0,41.148054566,-8.611185213,69.6
1532039703.0,41.148054566,-8.611185213,70.6
1532040005.0,41.148054566,-8.611185213,70.1
1532040307.0,41.148054566,-8.611185213,71.1
1532040644.0,41.148054566,-8.611185213,68.7
1532040946.0,41.148054566,-8.611185213,70.0
1532041248.0,41.148054566,-8.611185213,71.3
1532041550.0,41.148054566,-8.611185213,71.1
1532041860.0,41.148054566,-8.611185213,67.9
1532042161.0,41.148054566,-8.611185213,66.4
1532042403.0,41.148054566,-8.611185213,68.3
1532042705.0,41.148054566,-8.611185213,69.4
1532043008.0,41.148054566,-8.611185213,66.8
1532043316.0,41.148054566,-8.611185213,70.7
1532043619.0,41.148054566,-8.611185213,66.7
1532043920.0,41.148054566,-8.611185213,66.2
1532044223.0,41.148054566,-8.611185213,69.7
1532044560.0,41.148054566,-8.611185213,67.8
1532044862.0,41.148054566,-8.611185213,69.0
1532045104.0,41.148054566,-8.611185213,69.1
1532045406.0,41.148054566,-8.611185213,68.6
1532045708.0,41.148054566,-8.611185213,65.7
1532046017.0,41.148054566,-8.611185213,66.0
1532046319.0,41.148054566,-8.611185213,68.0
1532046621.0,41.148054566,-8.611185213,65.7
1532046923.0,41.148054566,-8.611185213,67.4
1532047225.0,41.148054566,-8.611185213,69.8
1532047527.0,41.148054566,-8.611185213,64.4
1532047829.0,41.148054566,-8.611185213,68.6
1532048145.0,41.148054566,-8.611185213,64.0
1532048448.0,41.148054566,-8.611185213,67.7
1532048750.0,41.148054566,-8.611185213,67.7
1532049052.0,41.148054566,-8.611185213,66.2
1532049354.0,41.148054566,-8.611185213,68.9
1532049656.0,41.148054566,-8.611185213,65.0
1532049958.0,41.148054566,-8.611185213,68.1
1532050569.0,41.148054566,-8.611185213,65.1
1532050811.0,41.148054566,-8.611185213,64.8
1532051120.0,41.148054566,-8.611185213,65.0
1532051422.0,41.148054566,-8.611185213,69.3
1532051760.0,41.148054566,-8.611185213,69.7
1532051794.0,41.148054566,-8.611185213,69.7
1532052036.0,41.148054566,-8.611185213,67.4
1530295012.0,41.147703591,-8.610996883,72.8
1530295314.0,41.147703591,-8.610996883,72.8
1530295617.0,41.147703591,-8.610996883,72.0
1530295919.0,41.147703591,-8.610996883,72.1
1530296221.0,41.147703591,-8.610996883,72.4
1530296523.0,41.147703591,-8.610996883,71.3
1530296833.0,41.147703591,-8.610996883,73.0
1530297135.0,41.147703591,-8.610996883,71.6
1530297437.0,41.147703591,-8.610996883,72.0
1530297746.0,41.147703591,-8.610996883,71.9
1530297988.0,41.147703591,-8.610996883,73.1
1530298291.0,41.147703591,-8.610996883,71.8
1530298593.0,41.147703591,-8.610996883,72.5
1530298895.0,41.147703591,-8.610996883,76.1
1530299197.0,41.147703591,-8.610996883,71.7
1530299499.0,41.147703591,-8.610996883,70.7
1530299802.0,41.147703591,-8.610996883,70.8
1530300104.0,41.147703591,-8.610996883,72.6
1530300406.0,41.147703591,-8.610996883,72.5
1530300708.0,41.147703591,-8.610996883,71.4
1530301010.0,41.147703591,-8.610996883,69.8
1530301313.0,41.147703591,-8.610996883,71.1
1530301615.0,41.147703591,-8.610996883,72.3
1530301917.0,41.147703591,-8.610996883,70.7
1530302219.0,41.147703591,-8.610996883,71.9
1530302521.0,41.147703591,-8.610996883,71.3
1530302823.0,41.147703591,-8.610996883,71.7
1530303125.0,41.147703591,-8.610996883,71.0
1530303427.0,41.147703591,-8.610996883,70.8
1530303730.0,41.147703591,-8.610996883,69.9
1530304039.0,41.147703591,-8.610996883,70.1
1530304281.0,41.147703591,-8.610996883,71.1
1530304583.0,41.147703591,-8.610996883,70.5
1530304885.0,41.147703591,-8.610996883,72.9
1530305187.0,41.147703591,-8.610996883,71.4
1530305490.0,41.147703591,-8.610996883,81.4
1530305792.0,41.147703591,-8.610996883,71.0
1530306094.0,41.147703591,-8.610996883,70.7
1530306396.0,41.147703591,-8.610996883,69.8
1530306698.0,41.147703591,-8.610996883,72.2
1530307000.0,41.147703591,-8.610996883,69.7
1530307302.0,41.147703591,-8.610996883,70.6
1530307604.0,41.147703591,-8.610996883,70.5
1530307907.0,41.147703591,-8.610996883,71.2
1530308216.0,41.147703591,-8.610996883,72.2
1530308525.0,41.147703591,-8.610996883,71.2
1530308827.0,41.147703591,-8.610996883,71.1
1530309129.0,41.147703591,-8.610996883,70.4
1530309432.0,41.147703591,-8.610996883,70.5
1530309734.0,41.147703591,-8.610996883,69.8
1530310043.0,41.147703591,-8.610996883,70.6
1530310594.0,41.147703591,-8.610996883,70.7
1530310897.0,41.147703591,-8.610996883,72.3
1530311199.0,41.147703591,-8.610996883,71.7
1530311508.0,41.147703591,-8.610996883,70.8
1530311810.0,41.147703591,-8.610996883,71.3
1530312112.0,41.147703591,-8.610996883,70.4
1530312421.0,41.147703591,-8.610996883,70.8
1530312723.0,41.147703591,-8.610996883,69.3
1530313026.0,41.147703591,-8.610996883,72.2
1530313328.0,41.147703591,-8.610996883,70.4
1530313630.0,41.147703591,-8.610996883,69.1
1530313932.0,41.147703591,-8.610996883,68.6
1530314234.0,41.147703591,-8.610996883,69.8
1530314536.0,41.147703591,-8.610996883,69.1
1530314839.0,41.147703591,-8.610996883,70.6
1530315081.0,41.147703591,-8.610996883,71.0
1530315383.0,41.147703591,-8.610996883,69.3
1530315432.0,41.147703591,-8.610996883,69.3
1530315734.0,41.147703591,-8.610996883,71.4
1530316071.0,41.147703591,-8.610996883,70.7
1530316314.0,41.147703591,-8.610996883,70.9
1530316651.0,41.147703591,-8.610996883,69.3
1530316893.0,41.147703591,-8.610996883,70.0
1530317195.0,41.147703591,-8.610996883,72.5
1530317497.0,41.147703591,-8.610996883,69.2
1530317806.0,41.147703591,-8.610996883,68.9
