time,lat,long,NO2
1544036944.0,41.180222,-8.605194,101.7
1544037158.0,41.180222,-8.605194,101.7
1544037559.0,41.180222,-8.605194,100.6
1544037746.0,41.180222,-8.605194,100.6
1544038132.0,41.180222,-8.605194,100.6
1544038332.0,41.180222,-8.605194,97.3
1544038721.0,41.180222,-8.605194,97.3
1544038922.0,41.180222,-8.605194,97.3
1544039313.0,41.180222,-8.605194,93.9
1544039493.0,41.180222,-8.605194,93.9
1544039886.0,41.180222,-8.605194,93.9
1544040092.0,41.180222,-8.605194,90.9
1544040483.0,41.180222,-8.605194,90.9
1544040696.0,41.180222,-8.605194,90.9
1544041054.0,41.180222,-8.605194,91.0
1544041412.0,41.180222,-8.605194,91.0
1544041620.0,41.180222,-8.605194,91.0
1544042013.0,41.180222,-8.605194,96.1
1544042185.0,41.180222,-8.605194,96.1
1544042581.0,41.180222,-8.605194,96.1
1544042784.0,41.180222,-8.605194,93.2
1544043177.0,41.180222,-8.605194,93.2
1544043553.0,41.180222,-8.605194,93.2
1544043775.0,41.180222,-8.605194,92.3
1544043993.0,41.180222,-8.605194,92.3
1544044373.0,41.180222,-8.605194,92.3
1544044595.0,41.180222,-8.605194,88.0
1544044949.0,41.180222,-8.605194,88.0
1544045347.0,41.180222,-8.605194,88.0
1544045548.0,41.180222,-8.605194,83.6
1544045964.0,41.180222,-8.605194,83.6
1544046152.0,41.180222,-8.605194,83.6
1544046534.0,41.180222,-8.605194,80.5
1544046752.0,41.180222,-8.605194,80.5
1544047113.0,41.180222,-8.605194,80.5
1544047312.0,41.180222,-8.605194,82.1
1544047683.0,41.180222,-8.605194,82.1
1544048063.0,41.180222,-8.605194,82.1
1544048284.0,41.180222,-8.605194,78.4
1544048665.0,41.180222,-8.605194,78.4
1544048880.0,41.180222,-8.605194,78.4
1544049258.0,41.180222,-8.605194,81.7
1544049482.0,41.180222,-8.605194,81.7
1544049686.0,41.180222,-8.605194,81.7
1544050083.0,41.180222,-8.605194,67.4
1544050288.0,41.180222,-8.605194,67.4
1544050681.0,41.180222,-8.605194,67.4
1544051029.0,41.180222,-8.605194,67.0
1544051245.0,41.180222,-8.605194,67.0
1544051643.0,41.180222,-8.605194,67.0
1544051833.0,41.180222,-8.605194,69.4
1544052219.0,41.180222,-8.605194,69.4
1544052417.0,41.180222,-8.605194,69.4
1544052810.0,41.180222,-8.605194,70.7
1544052990.0,41.180222,-8.605194,70.7
1544053381.0,41.180222,-8.605194,70.7
1544053738.0,41.180222,-8.605194,67.3
1544053921.0,41.180222,-8.605194,67.3
1544054314.0,41.180222,-8.605194,67.3
1544054526.0,41.180222,-8.605194,64.1
1544054892.0,41.180222,-8.605194,64.1
1544055102.0,41.180222,-8.605194,64.1
1544055487.0,41.180222,-8.605194,66.4
1544055863.0,41.180222,-8.605194,66.4
1544056083.0,41.180222,-8.605194,66.4
1544056461.0,41.180222,-8.605194,55.4
1544056674.0,41.180222,-8.605194,55.4
1544057051.0,41.180222,-8.605194,55.4
1544057266.0,41.180222,-8.605194,51.0
1544057640.0,41.180222,-8.605194,51.0
1544057845.0,41.180222,-8.605194,51.0
1544058211.0,41.180222,-8.605194,41.6
1544058564.0,41.180222,-8.605194,41.6
1544058785.0,41.180222,-8.605194,41.6
1544059176.0,41.180222,-8.605194,47.2
1544059389.0,41.180222,-8.605194,47.2
1544059742.0,41.180222,-8.605194,47.2
1544059967.0,41.180222,-8.605194,34.8
1544060164.0,41.180222,-8.605194,34.8
1544060551.0,41.180222,-8.605194,34.8
1544060951.0,41.180222,-8.605194,39.1
1544061146.0,41.180222,-8.605194,39.1
1544061509.0,41.180222,-8.605194,39.1
1544061686.0,41.180222,-8.605194,49.8
1544062082.0,41.180222,-8.605194,49.8
1544062427.0,41.180222,-8.605194,49.8
1544062648.0,41.180222,-8.605194,55.0
1544063028.0,41.180222,-8.605194,55.0
1544063213.0,41.180222,-8.605194,55.0
1544063605.0,41.180222,-8.605194,56.8
1544063805.0,41.180222,-8.605194,56.8
1544064191.0,41.180222,-8.605194,56.8
1544064396.0,41.180222,-8.605194,53.2
1544064782.0,41.180222,-8.605194,53.2
1544064994.0,41.180222,-8.605194,53.2
1544065369.0,41.180222,-8.605194,56.0
1544065745.0,41.180222,-8.605194,56.0
1544065955.0,41.180222,-8.605194,56.0
1544066348.0,41.180222,-8.605194,47.2
1544066547.0,41.180222,-8.605194,47.2
1544066938.0,41.180222,-8.605194,47.2
1544067135.0,41.180222,-8.605194,53.1
1544067508.0,41.180222,-8.605194,53.1
1544067710.0,41.180222,-8.605194,53.1
1544068087.0,41.180222,-8.605194,40.4
1544068312.0,41.180222,-8.605194,40.4
1544068688.0,41.180222,-8.605194,40.4
1544069033.0,41.180222,-8.605194,39.7
1544069256.0,41.180222,-8.605194,39.7
1544069632.0,41.180222,-8.605194,39.7
1544069849.0,41.180222,-8.605194,45.8
1544070217.0,41.180222,-8.605194,45.8
1544070433.0,41.180222,-8.605194,45.8
1544070791.0,41.180222,-8.605194,49.4
1544070969.0,41.180222,-8.605194,49.4
1544071363.0,41.180222,-8.605194,49.4
1544071573.0,41.180222,-8.605194,45.4
1544071956.0,41.180222,-8.605194,45.4
1544072332.0,41.180222,-8.605194,45.4
1544072549.0,41.180222,-8.605194,46.0
1544072910.0,41.180222,-8.605194,46.0
1544073085.0,41.180222,-8.605194,46.0
1544073481.0,41.180222,-8.605194,48.6
1544073844.0,41.180222,-8.605194,48.6
1544074047.0,41.180222,-8.605194,48.6
1544074440.0,41.180222,-8.605194,45.3
1544074643.0,41.180222,-8.605194,45.3
1544075002.0,41.180222,-8.605194,45.3
1544075199.0,41.180222,-8.605194,44.9
1544075596.0,41.180222,-8.605194,44.9
1544075946.0,41.180222,-8.605194,44.9
1544076169.0,41.180222,-8.605194,43.9
1544076551.0,41.180222,-8.605194,43.9
1544076771.0,41.180222,-8.605194,43.9
1544077146.0,41.180222,-8.605194,48.6
1544077359.0,41.180222,-8.605194,48.6
1544077762.0,41.180222,-8.605194,48.6
1544077981.0,41.180222,-8.605194,43.2
1544078360.0,41.180222,-8.605194,43.2
1544078572.0,41.180222,-8.605194,43.2
1544078950.0,41.180222,-8.605194,39.9
1544079160.0,41.180222,-8.605194,39.9
1544079546.0,41.180222,-8.605194,39.9
1544079767.0,41.180222,-8.605194,39.3
1544080146.0,41.180222,-8.605194,39.3
1544080363.0,41.180222,-8.605194,39.3
1544080566.0,41.180222,-8.605194,41.2
1544080962.0,41.180222,-8.605194,41.2
1544081324.0,41.180222,-8.605194,41.2
1544081510.0,41.180222,-8.605194,39.8
1544081904.0,41.180222,-8.605194,39.8
1544082108.0,41.180222,-8.605194,39.8
1544082500.0,41.180222,-8.605194,46.1
1544082710.0,41.180222,-8.605194,46.1
1544083092.0,41.180222,-8.605194,46.1
1544083308.0,41.180222,-8.605194,56.3
1544083673.0,41.180222,-8.605194,56.3
1544084079.0,41.180222,-8.605194,56.3
1544084292.0,41.180222,-8.605194,66.0
1544084503.0,41.180222,-8.605194,66.0
1544084860.0,41.180222,-8.605194,66.0
1544085237.0,41.180222,-8.605194,70.3
1544085447.0,41.180222,-8.605194,70.3
1544085853.0,41.180222,-8.605194,70.3
1544086043.0,41.180222,-8.605194,68.9
1544086436.0,41.180222,-8.605194,68.9
1544086634.0,41.180222,-8.605194,68.9
1544086992.0,41.180222,-8.605194,72.2
1544087202.0,41.180222,-8.605194,72.2
1544087591.0,41.180222,-8.605194,72.2
1544087939.0,41.180222,-8.605194,75.8
1544088162.0,41.180222,-8.605194,75.8
1544088545.0,41.180222,-8.605194,75.8
1544088763.0,41.180222,-8.605194,79.8
1544089121.0,41.180222,-8.605194,79.8
1544089322.0,41.180222,-8.605194,79.8
1544089705.0,41.180222,-8.605194,78.3
1544090051.0,41.180222,-8.605194,78.3
1544090272.0,41.180222,-8.605194,78.3
1544090664.0,41.180222,-8.605194,88.1
1544090891.0,41.180222,-8.605194,88.1
1544091065.0,41.180222,-8.605194,88.1
1544091480.0,41.180222,-8.605194,83.8
1544091670.0,41.180222,-8.605194,83.8
1544092049.0,41.180222,-8.605194,83.8
1544092414.0,41.180222,-8.605194,71.8
1544092599.0,41.180222,-8.605194,71.8
1544092975.0,41.180222,-8.605194,71.8
1544093356.0,41.180222,-8.605194,77.8
