time,lat,long,windDirection
1550212041.0,41.180222,-8.605194,97.0
1550212406.0,41.180222,-8.605194,99.0
1550212577.0,41.180222,-8.605194,96.0
1550212963.0,41.180222,-8.605194,93.0
1550213141.0,41.180222,-8.605194,93.0
1550213500.0,41.180222,-8.605194,94.0
1550213889.0,41.180222,-8.605194,95.0
1550214033.0,41.180222,-8.605194,95.0
1550214431.0,41.180222,-8.605194,96.0
1550214804.0,41.180222,-8.605194,93.0
1550214969.0,41.180222,-8.605194,88.0
1550215352.0,41.180222,-8.605194,86.0
1550215551.0,41.180222,-8.605194,71.0
1550215877.0,41.180222,-8.605194,64.0
1550216259.0,41.180222,-8.605194,39.0
1550216470.0,41.180222,-8.605194,45.0
1550216797.0,41.180222,-8.605194,57.0
1550217030.0,41.180222,-8.605194,77.0
1550217384.0,41.180222,-8.605194,76.0
1550217761.0,41.180222,-8.605194,73.0
1550217942.0,41.180222,-8.605194,76.0
1550218307.0,41.180222,-8.605194,77.0
1550218677.0,41.180222,-8.605194,93.0
1550218850.0,41.180222,-8.605194,83.0
1550219205.0,41.180222,-8.605194,79.0
1550219571.0,41.180222,-8.605194,74.0
1550219772.0,41.180222,-8.605194,73.0
1550220117.0,41.180222,-8.605194,73.0
1550220322.0,41.180222,-8.605194,65.0
1550220695.0,41.180222,-8.605194,89.0
1550221044.0,41.180222,-8.605194,73.0
1550221261.0,41.180222,-8.605194,81.0
1550221613.0,41.180222,-8.605194,72.0
1550221996.0,41.180222,-8.605194,83.0
1550222130.0,41.180222,-8.605194,87.0
1550222548.0,41.180222,-8.605194,92.0
1550222918.0,41.180222,-8.605194,87.0
1550223088.0,41.180222,-8.605194,91.0
1550223466.0,41.180222,-8.605194,92.0
1550223646.0,41.180222,-8.605194,99.0
1550224005.0,41.180222,-8.605194,91.0
1550224383.0,41.180222,-8.605194,125.0
1550224556.0,41.180222,-8.605194,91.0
1550224917.0,41.180222,-8.605194,91.0
1550225298.0,41.180222,-8.605194,98.0
1550225493.0,41.180222,-8.605194,101.0
1550225868.0,41.180222,-8.605194,123.0
1550226024.0,41.180222,-8.605194,120.0
1550226416.0,41.180222,-8.605194,95.0
1550226792.0,41.180222,-8.605194,88.0
1550226965.0,41.180222,-8.605194,102.0
1550227337.0,41.180222,-8.605194,157.0
1550227704.0,41.180222,-8.605194,138.0
1550227876.0,41.180222,-8.605194,122.0
1550228260.0,41.180222,-8.605194,148.0
1550228444.0,41.180222,-8.605194,130.0
1550228808.0,41.180222,-8.605194,117.0
1550229174.0,41.180222,-8.605194,137.0
1550229355.0,41.180222,-8.605194,158.0
1550229712.0,41.180222,-8.605194,144.0
1550230073.0,41.180222,-8.605194,99.0
1550230289.0,41.180222,-8.605194,60.0
1550230644.0,41.180222,-8.605194,129.0
1550230845.0,41.180222,-8.605194,89.0
1550231212.0,41.180222,-8.605194,97.0
1550231587.0,41.180222,-8.605194,58.0
1550231786.0,41.180222,-8.605194,145.0
1550232141.0,41.180222,-8.605194,-15.0
1550232510.0,41.180222,-8.605194,-16.0
1550232702.0,41.180222,-8.605194,-68.0
1550233017.0,41.180222,-8.605194,46.0
1550233244.0,41.180222,-8.605194,131.0
1550233583.0,41.180222,-8.605194,147.0
1550233936.0,41.180222,-8.605194,121.0
1550234163.0,41.180222,-8.605194,147.0
1550234490.0,41.180222,-8.605194,145.0
1550234858.0,41.180222,-8.605194,158.0
1550235098.0,41.180222,-8.605194,146.0
1550235459.0,41.180222,-8.605194,5.0
1550235632.0,41.180222,-8.605194,90.0
1550235979.0,41.180222,-8.605194,59.0
1550236360.0,41.180222,-8.605194,114.0
1550236525.0,41.180222,-8.605194,100.0
1550236943.0,41.180222,-8.605194,30.0
